food_item_raw,food_trigger_category
Dosa,fermented
Dhokla,fermented
Appam,fermented
Jalebi Batter,fermented
Kanji,fermented
Idli,fermented
Bhatura,fermented
Handvo,fermented
Khaman,fermented
Sprouted Moong salad,Sprouted
Moth bean chaat,Sprouted
Kala Chana sprouts,Sprouted
Mixed Sprout Usal,Sprouted
Matki Bhel,Sprouted
Schezwan fried rice,Spicy
Chilli chicken,Spicy
Mirchi Bajji,Spicy
Kolhapuri Rassa,Spicy
Misal Pav,Spicy
Vindaloo,Spicy
Andhra chilli chicken,Spicy
Laal Maas,Spicy
Mutton Biryani,Heavy / Rich
Chicken,Heavy / Rich
Fried Pakodas,Heavy / Rich
Samosas,Heavy / Rich
Malai Kofta,Heavy / Rich
Chole Bhature,Heavy / Rich
Dal Makhani,Heavy / Rich
Paneer Butter Masala,Heavy / Rich
Puran Poli,Heavy / Rich
Tamarind chutney,High Acidity / Sour
Tomato chutney,High Acidity / Sour
Amchur potatoes,High Acidity / Sour
Mango Pickle (Achar),High Acidity / Sour
Kokam Curry,High Acidity / Sour
Rasam,High Acidity / Sour
Lemon Rice,High Acidity / Sour
Khatta Mag,High Acidity / Sour
Instant Noodles (Maggi),Processed / Imflammatory
Rusk,Processed / Imflammatory
Packaged Bhujia,Processed / Imflammatory
Tomato Ketchup,Processed / Imflammatory
Potato Wafers/Chips,Processed / Imflammatory
Marie Biscuits,Processed / Imflammatory
White Bread (Pav),Processed / Imflammatory
Readymade Namkeen Mix,Processed / Imflammatory
Moong Dal Khichdi,Light / Easily Digestible
Veg Upma,Light / Easily Digestible
Lauki (Bottle gourd),Light / Easily Digestible
Plain rice,Light / Easily Digestible
Poha,Light / Easily Digestible
Daliya (Broken Wheat),Light / Easily Digestible
Curd Rice,Light / Easily Digestible
Shrikhand,Cold / Chilled
Kulfi,Cold / Chilled
Boondi Raita,Cold / Chilled
Sweet Lassi,Cold / Chilled
Falooda,Cold / Chilled
Chaas (Buttermilk),Cold / Chilled
Thandai,Cold / Chilled
Fresh Tandori Roti,Hot / Freshly Cooked
Piping hot Sambar,Hot / Freshly Cooked
Dal Tadka,Hot / Freshly Cooked
Gajar ka Halwa,Hot / Freshly Cooked
Hot Bajra Bhakri,Hot / Freshly Cooked
Fish Curry,Non-Vegetarian
Chicken Tikka,Non-Vegetarian
Egg Curry,Non-Vegetarian
Prawn Thali,Non-Vegetarian
Kheema Pav,Non-Vegetarian
Chicken Dum Biryani,Non-Vegetarian
Tandoori Chicken,Non-Vegetarian
Gulab Jamun,Sweet / Desserts
Rasgulla,Sweet / Desserts
Kaju Katli,Sweet / Desserts
Mysurpa,Sweet / Desserts
Jalebi,Sweet / Desserts
Payasam/Kheer,Sweet / Desserts
Besan Ladoo,Sweet / Desserts
Kaju Pista Roll,Sweet / Desserts
Soan Papdi,Sweet / Desserts
Pani Puri,Street Food / Chaat
Sev Puri,Street Food / Chaat
Aloo Tikki,Street Food / Chaat
Dahi Vada,Street Food / Chaat
Bhel Puri,Street Food / Chaat
Pav Bhaji,Street Food / Chaat
Vada Pav,Street Food / Chaat
Ragda Pattice,Street Food / Chaat
Kachori,Street Food / Chaat
Kachumber salad,Raw / Crucnchy
Sliced radish,Raw / Crucnchy
Roasted Papad,Raw / Crucnchy
Cucumber slices,Raw / Crucnchy
Raw Onion rings,Raw / Crucnchy
Carrot sticks,Raw / Crucnchy
